Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Avg_Utilization_Ratio,Age_Bin,Churn,Attrition_Flag_Churned,Customer_Count
Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,4,7882.0,605,7277.0,1.052,704,0.077,60+,1,1,1
Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,32426.0,578,31848.0,1.042,1109,0.018,40-45,0,0,1
Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,1,6205.0,2204,4001.0,0.803,1347,0.355,50-55,0,0,1
Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,2,17304.0,2517,14787.0,1.449,1756,0.145,45-50,0,0,1
Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,2,3906.0,0,3906.0,1.214,1756,0.0,45-50,0,0,1
Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,3,9830.0,2055,7775.0,0.977,1042,0.209,35-40,0,0,1
Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,2,34516.0,0,34516.0,1.621,1444,0.0,45-50,0,0,1
Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,2,2283.0,1430,853.0,2.316,1741,0.626,55-60,0,0,1
Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,2,2548.0,2020,528.0,2.357,1719,0.793,55-60,0,0,1
Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,3,19458.0,1435,18023.0,0.787,1217,0.074,45-50,0,0,1
Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,1,4745.0,1227,3518.0,0.624,1140,0.259,50-55,0,0,1
Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,3,2622.0,1549,1073.0,1.321,1878,0.591,50-55,0,0,1
Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,3,1438.3,808,630.3,0.997,705,0.562,50-55,1,1,1
Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,4,3171.0,2179,992.0,1.224,1946,0.687,60+,0,0,1
Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,2,19763.0,2517,17246.0,0.664,1414,0.127,45-50,0,0,1
Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,3,15769.0,0,15769.0,1.041,602,0.0,55-60,1,1,1
Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,4,3298.0,2200,1098.0,0.678,1052,0.667,45-50,0,0,1
Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2802.0,2363,439.0,0.75,1295,0.843,45-50,0,0,1
Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,2,4458.0,1880,2578.0,1.107,1424,0.422,55-60,0,0,1
Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,1,6273.0,978,5295.0,2.275,1359,0.156,40-45,0,0,1
Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,3336.0,1753,1583.0,0.69,1168,0.525,40-45,0,0,1
Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,2,3436.0,2016,1420.0,0.901,1097,0.587,50-55,0,0,1
Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,4,34516.0,0,34516.0,0.763,691,0.0,45-50,1,1,1
Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,3,5926.0,1251,4675.0,0.944,1316,0.211,35-40,0,0,1
Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,4,23957.0,2102,21855.0,0.997,1276,0.088,40-45,0,0,1
Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,2,14734.0,1634,13100.0,0.989,1289,0.111,50-55,0,0,1
Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,1,34516.0,1515,33001.0,0.592,1293,0.044,50-55,0,0,1
Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,3,6584.0,1817,4767.0,0.62,1353,0.276,55-60,0,0,1
Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,3,2084.0,1468,616.0,1.004,1132,0.704,40-45,0,0,1
Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,1687.0,1107,580.0,1.715,1670,0.656,45-50,0,0,1
Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,2,25300.0,1330,23970.0,1.072,837,0.053,45-50,0,0,1
Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,2,34516.0,1763,32753.0,1.266,1550,0.051,50-55,0,0,1
Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,3,2216.0,1034,1182.0,0.758,1540,0.467,50-55,0,0,1
Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,2,2910.0,2030,880.0,0.769,1256,0.698,50-55,0,0,1
Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,2,22913.0,1528,21385.0,0.414,1394,0.067,40-45,0,0,1
Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,24312.0,1932,22380.0,1.312,1341,0.079,40-45,0,0,1
Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,3,5272.0,1515,3757.0,0.857,1289,0.287,50-55,0,0,1
Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,4,7000.0,2517,4483.0,0.475,1112,0.36,40-45,0,0,1
Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,7038.0,1801,5237.0,0.751,2339,0.256,35-40,0,0,1
Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,1,2536.0,1823,713.0,0.703,1468,0.719,45-50,0,0,1
Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,3,28904.0,1899,27005.0,0.85,1334,0.066,45-50,0,0,1
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,8567.0,1695,6872.0,1.242,1457,0.198,45-50,0,0,1
Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,2,34516.0,1533,32983.0,0.924,1603,0.044,40-45,0,0,1
Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,4,2158.0,0,2158.0,0.585,615,0.0,50-55,1,1,1
Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,3,10133.0,1417,8716.0,0.383,1068,0.14,55-60,0,0,1
Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,4,34516.0,1219,33297.0,1.129,1590,0.035,50-55,0,0,1
Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,3,3085.0,1910,1175.0,0.921,1531,0.619,50-55,0,0,1
Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,2,19040.0,2056,16984.0,0.607,1212,0.108,50-55,0,0,1
Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,2,4026.0,0,4026.0,0.483,1237,0.0,40-45,0,0,1
Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,3,12756.0,837,11919.0,1.932,1413,0.066,40-45,0,0,1
Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,3,5266.0,0,5266.0,1.702,1516,0.0,55-60,0,0,1
Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,2,9930.0,0,9930.0,0.731,1276,0.0,50-55,0,0,1
Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,3,31302.0,1953,29349.0,0.875,1564,0.062,45-50,0,0,1
Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,6576.0,0,6576.0,0.579,1465,0.0,40-45,0,0,1
Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,4,2664.0,2037,627.0,0.85,1286,0.765,50-55,0,0,1
Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,1,2535.0,2440,95.0,1.705,1312,0.963,40-45,0,0,1
Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,4,1709.0,895,814.0,1.656,1673,0.524,60+,0,0,1
Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,4,3454.0,1200,2254.0,0.597,1313,0.347,40-45,0,0,1
Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,3,3789.0,1706,2083.0,1.047,1609,0.45,50-55,0,0,1
Existing Customer,56,M,3,College,Married,$120K +,Blue,50,2,9689.0,2250,7439.0,0.576,1158,0.232,55-60,0,0,1
Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,3,5449.0,1628,3821.0,0.696,836,0.299,45-50,1,1,1
Existing Customer,49,F,3,College,Single,Unknown,Blue,43,4,23032.0,1960,21072.0,0.619,1289,0.085,45-50,0,0,1
Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,3,34516.0,2053,32463.0,1.034,1487,0.059,40-45,0,0,1
Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,2,2940.0,1264,1676.0,0.562,1259,0.43,50-55,0,0,1
Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3031.0,1879,1152.0,0.788,1298,0.62,40-45,0,0,1
Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,1862.0,0,1862.0,0.883,1226,0.0,40-45,0,0,1
Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,3,8358.0,926,7432.0,0.762,1566,0.111,40-45,0,0,1
Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,1,34516.0,931,33585.0,0.828,1022,0.027,50-55,0,0,1
Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,2,14450.0,2440,12010.0,1.283,1235,0.169,40-45,0,0,1
Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,0,1438.3,0,1438.3,0.813,1951,0.0,60+,0,0,1
Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,3,33791.0,1960,31831.0,0.618,1047,0.058,50-55,0,0,1
Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,3,8466.0,1886,6580.0,0.56,1342,0.223,55-60,0,0,1
Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,3,15088.0,865,14223.0,0.939,1107,0.057,40-45,0,0,1
Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,1,3263.0,1674,1589.0,0.588,1251,0.513,40-45,0,0,1
Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,1494.0,706,788.0,1.674,1305,0.473,50-55,0,0,1
Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,1,13551.0,1294,12257.0,0.791,1388,0.095,45-50,0,0,1
Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,2,18886.0,895,17991.0,1.826,1235,0.047,45-50,0,0,1
Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,2,11976.0,1273,10703.0,1.024,2089,0.106,50-55,0,0,1
Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,1,9964.0,1559,8405.0,1.873,1626,0.156,45-50,0,0,1
Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,6,24159.0,1196,22963.0,0.712,1111,0.05,45-50,0,0,1
Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,2,5362.0,1901,3461.0,0.816,1553,0.355,50-55,0,0,1
Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,2,34516.0,1023,33493.0,1.004,1064,0.03,45-50,0,0,1
Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,1,3174.0,1951,1223.0,0.766,1243,0.615,50-55,0,0,1
Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,2,12262.0,1836,10426.0,1.584,1659,0.15,50-55,0,0,1
Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,3,3788.0,1540,2248.0,0.566,1594,0.407,45-50,0,0,1
Existing Customer,55,M,2,College,Single,$120K +,Silver,42,3,34516.0,1527,32989.0,0.526,1268,0.044,50-55,0,0,1
Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,2,2926.0,0,2926.0,0.676,1304,0.0,45-50,0,0,1
Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,1,32090.0,0,32090.0,0.567,1368,0.0,55-60,0,0,1
Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,11669.0,2227,9442.0,0.622,720,0.191,50-55,1,1,1
Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,1,13532.0,1300,12232.0,0.846,1521,0.096,50-55,0,0,1
Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,2,11888.0,2090,9798.0,0.7,1137,0.176,45-50,0,0,1
Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,1,2393.0,1985,408.0,0.788,978,0.83,40-45,0,0,1
Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,1,6111.0,2517,3594.0,0.632,1221,0.412,40-45,0,0,1
Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,2,19270.0,1662,17608.0,1.186,1565,0.086,55-60,0,0,1
Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,1,3710.0,2517,1193.0,1.541,1578,0.678,50-55,0,0,1
Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,1,3235.0,797,2438.0,0.541,1493,0.246,45-50,0,0,1
Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,1,11749.0,788,10961.0,0.688,1178,0.067,40-45,0,0,1
Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,3,7753.0,2100,5653.0,0.839,991,0.271,50-55,0,0,1
Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,1,10408.0,1186,9222.0,1.689,2560,0.114,40-45,0,0,1
Existing Customer,63,F,1,College,Married,Unknown,Blue,36,2,3967.0,1568,2399.0,1.236,1657,0.395,60+,0,0,1
Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,2,6205.0,2517,3688.0,0.939,1204,0.406,35-40,0,0,1
Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,3,8025.0,0,8025.0,0.654,673,0.0,45-50,1,1,1
Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42,2,9036.0,2327,6709.0,0.649,1131,0.258,50-55,0,0,1
Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,3,14926.0,2517,12409.0,1.996,1576,0.169,50-55,0,0,1
Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,2,6335.0,1128,5207.0,0.397,1217,0.178,55-60,0,0,1
Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,3,14979.0,0,14979.0,0.71,530,0.0,55-60,1,1,1
Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,2,2732.0,0,2732.0,0.76,739,0.0,45-50,1,1,1
Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,3,2250.0,2117,133.0,1.162,1617,0.941,40-45,0,0,1
Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,2,10916.0,1536,9380.0,1.317,1592,0.141,50-55,0,0,1
Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,36,1,5349.0,1228,4121.0,0.728,1343,0.23,45-50,0,0,1
Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,1,9366.0,1104,8262.0,0.572,1303,0.118,40-45,0,0,1
Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28,1,21617.0,0,21617.0,1.047,1351,0.0,35-40,0,0,1
Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,56,2,13860.0,1652,12208.0,1.255,1910,0.119,60+,0,0,1
Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,18386.0,0,18386.0,0.868,1298,0.0,45-50,0,0,1
Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,2,2405.0,1540,865.0,0.469,1087,0.64,45-50,0,0,1
Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,2,2154.0,930,1224.0,2.121,1439,0.432,50-55,0,0,1
Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,36,3,2038.0,0,2038.0,0.786,1238,0.0,40-45,0,0,1
Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,38,1,8135.0,0,8135.0,1.373,1716,0.0,45-50,0,0,1
Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,1,9364.0,618,8746.0,0.554,1099,0.066,45-50,0,0,1
Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,35,3,32643.0,0,32643.0,1.3,1058,0.0,40-45,0,0,1
Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,3,3195.0,1954,1241.0,0.971,1285,0.612,40-45,0,0,1
Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,2,2852.0,1024,1828.0,1.009,1651,0.359,55-60,0,0,1
Existing Customer,59,F,1,College,Single,Unknown,Blue,36,3,4224.0,1305,2919.0,0.852,1152,0.309,55-60,0,0,1
Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,2,20459.0,2071,18388.0,1.248,1767,0.101,45-50,0,0,1
Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,41,5,3482.0,2114,1368.0,0.508,1039,0.607,45-50,0,0,1
Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,2,3065.0,1570,1495.0,1.077,1130,0.512,45-50,0,0,1
Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,1,2185.0,1761,424.0,0.682,1645,0.806,50-55,0,0,1
Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,1,1611.0,746,865.0,0.993,1413,0.463,45-50,0,0,1
Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,2822.0,2173,649.0,1.456,1218,0.77,55-60,0,0,1
Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33,3,32975.0,2517,30458.0,0.658,597,0.076,45-50,1,1,1
Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,47,2,1438.3,0,1438.3,0.776,2184,0.0,50-55,0,0,1
Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,36,3,15875.0,1719,14156.0,0.86,1592,0.108,40-45,0,0,1
Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,45,3,6703.0,893,5810.0,0.567,1388,0.133,50-55,0,0,1
Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,36,2,3212.0,0,3212.0,0.713,757,0.0,50-55,1,1,1
Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,45,1,34516.0,1260,33256.0,0.588,1504,0.037,45-50,0,0,1
Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,36,1,9797.0,1434,8363.0,0.644,1503,0.146,40-45,0,0,1
Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,2,10400.0,1777,8623.0,0.791,1105,0.171,40-45,0,0,1
Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,1,26792.0,1836,24956.0,1.432,2398,0.069,50-55,0,0,1
Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,56,3,3006.0,2517,489.0,2.053,1661,0.837,60+,0,0,1
Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,3,19482.0,1072,18410.0,0.706,1421,0.055,55-60,0,0,1
Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,2,3356.0,985,2371.0,0.35,999,0.294,55-60,0,0,1
Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,2,5771.0,2248,3523.0,1.791,1387,0.39,40-45,0,0,1
Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,2,11106.0,2107,8999.0,0.948,1243,0.19,50-55,0,0,1
Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,54,3,2890.0,2001,889.0,1.334,1860,0.692,55-60,0,0,1
Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,45,2,3380.0,1701,1679.0,0.747,1502,0.503,50-55,0,0,1
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,36,1,21331.0,1251,20080.0,0.949,1460,0.059,45-50,0,0,1
Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,38,2,12860.0,0,12860.0,0.646,1348,0.0,45-50,0,0,1
Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,1,6278.0,462,5816.0,1.161,1087,0.074,45-50,0,0,1
Existing Customer,60,F,0,College,Single,Less than $40K,Blue,55,1,1438.3,738,700.3,0.782,1226,0.513,55-60,0,0,1
Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,36,1,9355.0,1626,7729.0,0.701,1230,0.174,45-50,0,0,1
Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,31,1,20758.0,0,20758.0,0.688,1555,0.0,40-45,0,0,1
Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,47,3,14612.0,1976,12636.0,1.768,1827,0.135,55-60,0,0,1
Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue,27,2,27259.0,0,27259.0,0.731,1376,0.0,40-45,0,0,1
Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,47,2,6347.0,1594,4753.0,0.896,1771,0.251,55-60,0,0,1
Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41,3,21592.0,1676,19916.0,1.097,1873,0.078,50-55,0,0,1
Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,1,3449.0,1598,1851.0,0.971,1679,0.463,50-55,0,0,1
Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,34,1,6028.0,799,5229.0,0.819,1002,0.133,45-50,0,0,1
